event_date,platform,account_id,campaign_id,campaign_name,campaign_status,billing_status,country_code,device_type,currency,impressions,clicks,conversions,ad_spend,revenue,snapshot_ts,load_batch_id
2026-03-18,Google,AC1001,CMP100,Summer Sale,ACTIVE,Billable,IN,mobile,INR,120000,5400,210,18450.75,39200,2026-03-19 01:10:00,B1
18/03/2026,facebook,AC1002,CMP200,Electronics Blast,ACTIVE,Billable,IN,desktop,INR,98000,5100,95,22500,17100,2026-03-19 01:12:00,B1
2026/03/18,IG,AC1003,CMP300,Fashion Reel,ACTIVE,Billable,AE,mobile,AED,87000,4200,84,14900,16200,2026-03-19 01:15:00,B1
2026-03-18,Google,AC1001,CMP100,Summer Sale,ACTIVE,Billable,IN,mobile,INR,120000,5400,210,18450.75,39200,2026-03-19 02:05:00,B2
2026-03-19,fb,AC1004,CMP400,Winter Deals,ACTIVE,Billable,US,desktop,USD,150000,8000,120,30000,25000,2026-03-20 01:00:00,B1
2026-03-19,Insta,AC1005,CMP500,Shoes Promo,ACTIVE,Billable,IN,mobile,INR,60000,2500,60,12000,14000,2026-03-20 01:10:00,B1
2026-03-19,Google,AC1006,CMP600,Tech Launch,PAUSED,Billable,IN,desktop,INR,50000,2000,40,10000,8000,2026-03-20 01:15:00,B1
2026-03-19,Google,AC1007,CMP700,Mobile Ads,ACTIVE,Non-Billable,IN,mobile,INR,40000,1500,30,8000,9000,2026-03-20 01:20:00,B1
2026-03-20,facebook,AC1008,CMP800,Home Decor,ACTIVE,Billable,IN,desktop,INR,110000,6000,150,20000,25000,2026-03-21 01:00:00,B1
2026-03-20,IG,AC1009,CMP900,Beauty Sale,ACTIVE,Billable,IN,mobile,INR,70000,3000,0,15000,0,2026-03-21 01:05:00,B1
2026-03-20,Google,AC1010,CMP1000,Auto Ads,ACTIVE,Billable,US,desktop,USD,90000,4000,100,22000,30000,2026-03-21 01:10:00,B1
2026-03-21,facebook,AC1011,CMP1100,Travel Promo,ACTIVE,Billable,IN,mobile,INR,80000,3500,70,18000,21000,2026-03-22 01:00:00,B1
2026-03-21,IG,AC1012,CMP1200,Clothing Ads,ACTIVE,Billable,AE,mobile,AED,75000,3200,65,16000,17000,2026-03-22 01:10:00,B1
2026-03-21,Google,AC1013,CMP1300,Grocery Ads,ACTIVE,Billable,IN,desktop,INR,95000,5000,120,21000,26000,2026-03-22 01:15:00,B1
2026-03-22,fb,AC1014,CMP1400,Book Sale,ACTIVE,Billable,IN,mobile,INR,30000,1200,20,5000,7000,2026-03-23 01:00:00,B1
2026-03-22,Google,AC1015,CMP1500,Jewelry Ads,ACTIVE,Billable,IN,desktop,INR,40000,1800,35,9000,12000,2026-03-23 01:10:00,B1
2026-03-22,Insta,AC1016,CMP1600,Fitness Ads,ACTIVE,Billable,US,mobile,USD,60000,2500,50,13000,16000,2026-03-23 01:15:00,B1
2026-03-23,facebook,AC1017,CMP1700,Food Ads,ACTIVE,Billable,IN,desktop,INR,85000,4200,90,17000,22000,2026-03-24 01:00:00,B1
2026-03-23,IG,AC1018,CMP1800,Kids Wear,ACTIVE,Billable,IN,mobile,INR,45000,2000,30,10000,12000,2026-03-24 01:05:00,B1
2026-03-23,Google,AC1019,CMP1900,Music Ads,ACTIVE,Billable,US,desktop,USD,70000,3100,70,15000,20000,2026-03-24 01:10:00,B1
2026-03-24,facebook,AC1020,CMP2000,Gaming Ads,ACTIVE,Billable,IN,mobile,INR,65000,2800,55,14000,18000,2026-03-25 01:00:00,B1
2026-03-24,IG,AC1021,CMP2100,Travel Deals,ACTIVE,Billable,AE,mobile,AED,72000,2900,60,15500,17000,2026-03-25 01:05:00,B1
2026-03-24,Google,AC1022,CMP2200,Finance Ads,ACTIVE,Billable,IN,desktop,INR,88000,4100,95,19000,23000,2026-03-25 01:10:00,B1
2026-03-25,facebook,AC1023,CMP2300,Education Ads,ACTIVE,Billable,IN,mobile,INR,60000,2500,45,13000,16000,2026-03-26 01:00:00,B1
2026-03-25,IG,AC1024,CMP2400,Health Ads,ACTIVE,Billable,US,mobile,USD,50000,2200,40,11000,14000,2026-03-26 01:05:00,B1
2026-03-25,Google,AC1025,CMP2500,Insurance Ads,ACTIVE,Billable,IN,desktop,INR,77000,3300,80,16000,21000,2026-03-26 01:10:00,B1
2026-03-26,facebook,AC1026,CMP2600,Pet Ads,ACTIVE,Billable,IN,mobile,INR,55000,2400,35,12000,15000,2026-03-27 01:00:00,B1
2026-03-26,IG,AC1027,CMP2700,Real Estate,ACTIVE,Billable,AE,mobile,AED,90000,3800,85,20000,26000,2026-03-27 01:05:00,B1
2026-03-26,Google,AC1028,CMP2800,Hotel Ads,ACTIVE,Billable,IN,desktop,INR,82000,3600,75,17500,22000,2026-03-27 01:10:00,B1
2026-03-27,facebook,AC1029,CMP2900,Movie Ads,ACTIVE,Billable,IN,mobile,INR,48000,2100,25,9000,12000,2026-03-28 01:00:00,B1
